productName,site,salePrice,crawledAt
플레이스테이션 5 슬림 1TB,COUPANG,531000,2025-06-12 02:10:36.789725
플레이스테이션 5 슬림 1TB,GMARKET,533000,2025-06-12 02:10:36.799165
플레이스테이션 5 슬림 1TB,ELEVENSTREET,610560,2025-06-12 02:10:36.807608
플레이스테이션 5 슬림 1TB,AUCTION,583650,2025-06-12 02:10:36.815043
플레이스테이션 5 슬림 1TB,COUPANG,531000,2025-06-12 16:17:52.479274
플레이스테이션 5 슬림 1TB,GMARKET,533000,2025-06-12 16:17:52.487399
플레이스테이션 5 슬림 1TB,ELEVENSTREET,610560,2025-06-12 16:17:52.494024
플레이스테이션 5 슬림 1TB,AUCTION,583650,2025-06-12 16:17:52.503037
닌텐도 스위치 OLED,COUPANG,369350,2025-06-12 02:10:52.076639
닌텐도 스위치 OLED,GMARKET,369260,2025-06-12 02:10:52.083793
닌텐도 스위치 OLED,ELEVENSTREET,369270,2025-06-12 02:10:52.091554
닌텐도 스위치 OLED,AUCTION,379720,2025-06-12 02:10:52.100046
닌텐도 스위치 OLED,COUPANG,369040,2025-06-12 16:18:08.965204
닌텐도 스위치 OLED,GMARKET,373100,2025-06-12 16:18:08.973830
닌텐도 스위치 OLED,ELEVENSTREET,369030,2025-06-12 16:18:08.980370
닌텐도 스위치 OLED,AUCTION,383940,2025-06-12 16:18:08.988742
닌텐도 스위치 OLED 스플래툰 3 에디션,COUPANG,369600,2025-06-12 16:18:25.147737
닌텐도 스위치 OLED 스플래툰 3 에디션,GMARKET,377550,2025-06-12 16:18:25.154849
닌텐도 스위치 OLED 스플래툰 3 에디션,ELEVENSTREET,398000,2025-06-12 16:18:25.161112
닌텐도 스위치 OLED 스플래툰 3 에디션,AUCTION,377550,2025-06-12 16:18:25.166841
닌텐도 스위치 OLED 모여봐요 동물의숲 에디션,COUPANG,391520,2025-06-12 16:18:40.844230
닌텐도 스위치 OLED 모여봐요 동물의숲 에디션,GMARKET,395850,2025-06-12 16:18:40.850991
